05 ;001;MEDELLÍN
05 ;002;ABEJORRAL
05 ;004;ABRIAQUÍ
05 ;021;ALEJANDRÍA
05 ;030;AMAGÁ
05 ;031;AMALFI
05 ;034;ANDES
05 ;036;ANGELÓPOLIS
05 ;038;ANGOSTURA
05 ;040;ANORÍ
05 ;042;SANTA FÉ DE ANTIOQUIA
05 ;044;ANZÁ
05 ;045;APARTADÓ
05 ;051;ARBOLETES
05 ;055;ARGELIA
05 ;059;ARMENIA
05 ;079;BARBOSA
05 ;086;BELMIRA
05 ;088;BELLO
05 ;091;BETANIA
05 ;093;BETULIA
05 ;101;CIUDAD BOLÍVAR
05 ;107;BRICEÑO
05 ;113;BURITICÁ
05 ;120;CÁCERES
05 ;125;CAICEDO
05 ;129;CALDAS
05 ;134;CAMPAMENTO
05 ;138;CAÑASGORDAS
05 ;142;CARACOLÍ
05 ;145;CARAMANTA
05 ;147;CAREPA
05 ;148;EL CARMEN DE VIBORAL
05 ;150;CAROLINA
05 ;154;CAUCASIA
05 ;172;CHIGORODÓ
05 ;190;CISNEROS
05 ;197;COCORNÁ
05 ;206;CONCEPCIÓN
05 ;209;CONCORDIA
05 ;212;COPACABANA
05 ;234;DABEIBA
05 ;237;DONMATÍAS
05 ;240;EBÉJICO
05 ;250;EL BAGRE
05 ;264;ENTRERRÍOS
05 ;266;ENVIGADO
05 ;282;FREDONIA
05 ;284;FRONTINO
05 ;306;GIRALDO
05 ;308;GIRARDOTA
05 ;310;GÓMEZ PLATA
05 ;313;GRANADA
05 ;315;GUADALUPE
05 ;318;GUARNE
05 ;321;GUATAPÉ
05 ;347;HELICONIA
05 ;353;HISPANIA
05 ;360;ITAGÜÍ
05 ;361;ITUANGO
05 ;364;JARDÍN
05 ;368;JERICÓ
05 ;376;LA CEJA
05 ;380;LA ESTRELLA
05 ;390;LA PINTADA
05 ;400;LA UNIÓN
05 ;411;LIBORINA
05 ;425;MACEO
05 ;440;MARINILLA
05 ;467;MONTEBELLO
05 ;475;MURINDÓ
05 ;480;MUTATÁ
05 ;483;NARIÑO
05 ;490;NECOCLÍ
05 ;495;NECHÍ
05 ;501;OLAYA
05 ;541;PEÑOL
05 ;543;PEQUE
05 ;576;PUEBLORRICO
05 ;579;PUERTO BERRÍO
05 ;585;PUERTO NARE
05 ;591;PUERTO TRIUNFO
05 ;604;REMEDIOS
05 ;607;RETIRO
05 ;615;RIONEGRO
05 ;628;SABANALARGA
05 ;631;SABANETA
